7zip 25.01-5.fc44
fwupd-plugin-modem-manager 2.1.1-1.fc44
fwupd-plugin-uefi-capsule-data 2.1.1-1.fc44
game-music-emu 0.6.4-3.fc44
gawk 5.3.2-3.fc44
gawk-all-langpacks 5.3.2-3.fc44
gd 2.3.3-21.fc44
gdb 17.1-4.fc44
gdb-headless 17.1-4.fc44
gdbm 1.23-11.fc44
gdbm-libs 1.23-11.fc44
gdk-pixbuf2 2.44.4-2.fc44
gdouros-symbola-fonts 10.24-19.fc44
geoclue2 2.8.0-2.fc44
gettext-envsubst 0.26-4.fc44
gettext-libs 0.26-4.fc44
gettext-runtime 0.26-4.fc44
ghostscript 10.06.0-2.fc44
ghostscript-tools-fontutils 10.06.0-2.fc44
ghostscript-tools-printing 10.06.0-2.fc44
giflib 6.1.2-1.fc44
glib2 2.88.0-1.fc44
glibc 2.43-2.fc44
glibc-all-langpacks 2.43-2.fc44
glibc-common 2.43-2.fc44
glibc-gconv-extra 2.43-2.fc44
glibmm2.4 2.66.8-3.fc44
glib-networking 2.80.1-4.fc44
glx-utils 9.0.0-11.fc44
glycin-libs 2.1.1-1.fc44
glycin-loaders 2.1.1-1.fc44
gmp 6.3.0-5.fc44
gnome-abrt 1.4.3-9.fc44
gnulib-l10n 20241231-2.fc44
gnupg2 2.4.9-5.fc44
gnupg2-dirmngr 2.4.9-5.fc44
gnupg2-gpg-agent 2.4.9-5.fc44
gnupg2-gpgconf 2.4.9-5.fc44
gnupg2-keyboxd 2.4.9-5.fc44
gnupg2-scdaemon 2.4.9-5.fc44
gnupg2-smime 2.4.9-5.fc44
gnupg2-verify 2.4.9-5.fc44
gnustep-base-libs 1.31.0-8.fc44
gnustep-filesystem 2.9.3-4.fc44
gnustep-make 2.9.3-4.fc44
gnutls 3.8.12-1.fc44
gnutls-dane 3.8.12-1.fc44
gobject-introspection 1.86.0-3.fc44
gocryptfs 2.6.1-5.fc44
go-l2tp 0.1.8-4.fc44
google-carlito-fonts 1.103-0.28.20130920.fc44
google-crosextra-caladea-fonts 1.002-0.22.20130214.fc44
google-droid-sans-fonts 20200215-24.fc44
google-noto-color-emoji-fonts 20250623-4.fc44
google-noto-emoji-fonts 20250623-4.fc44
google-noto-fonts-common 20251201-2.fc44
google-noto-naskh-arabic-vf-fonts 20251201-2.fc44
google-noto-sans-arabic-vf-fonts 20251201-2.fc44
google-noto-sans-armenian-vf-fonts 20251201-2.fc44
google-noto-sans-bengali-vf-fonts 20251201-2.fc44
google-noto-sans-canadian-aboriginal-vf-fonts 20251201-2.fc44
google-noto-sans-cherokee-vf-fonts 20251201-2.fc44
google-noto-sans-cjk-vf-fonts 2.004-11.fc44
google-noto-sans-devanagari-vf-fonts 20251201-2.fc44
google-noto-sans-ethiopic-vf-fonts 20251201-2.fc44
google-noto-sans-fonts 20251201-2.fc44
google-noto-sans-georgian-vf-fonts 20251201-2.fc44
google-noto-sans-gothic-fonts 20251201-2.fc44
google-noto-sans-gujarati-vf-fonts 20251201-2.fc44
google-noto-sans-gurmukhi-vf-fonts 20251201-2.fc44
google-noto-sans-hebrew-vf-fonts 20251201-2.fc44
google-noto-sans-kannada-vf-fonts 20251201-2.fc44
google-noto-sans-khmer-vf-fonts 20251201-2.fc44
google-noto-sans-lao-vf-fonts 20251201-2.fc44
google-noto-sans-math-fonts 20251201-2.fc44
google-noto-sans-meetei-mayek-vf-fonts 20251201-2.fc44
google-noto-sans-mono-cjk-vf-fonts 2.004-11.fc44
google-noto-sans-mono-fonts 20251201-2.fc44
google-noto-sans-mono-vf-fonts 20251201-2.fc44
google-noto-sans-nko-fonts 20251201-2.fc44
google-noto-sans-ol-chiki-vf-fonts 20251201-2.fc44
google-noto-sans-oriya-vf-fonts 20251201-2.fc44
google-noto-sans-sinhala-vf-fonts 20251201-2.fc44
google-noto-sans-symbols-2-fonts 20251201-2.fc44
google-noto-sans-symbols-vf-fonts 20251201-2.fc44
google-noto-sans-syriac-vf-fonts 20251201-2.fc44
google-noto-sans-tamil-vf-fonts 20251201-2.fc44
google-noto-sans-telugu-vf-fonts 20251201-2.fc44
google-noto-sans-thaana-vf-fonts 20251201-2.fc44
google-noto-sans-thai-vf-fonts 20251201-2.fc44
google-noto-sans-vf-fonts 20251201-2.fc44
google-noto-sans-yi-fonts 20251201-2.fc44
google-noto-serif-armenian-vf-fonts 20251201-2.fc44
google-noto-serif-bengali-vf-fonts 20251201-2.fc44
google-noto-serif-cjk-vf-fonts 2.003-4.fc44
google-noto-serif-devanagari-vf-fonts 20251201-2.fc44
google-noto-serif-ethiopic-vf-fonts 20251201-2.fc44
google-noto-serif-fonts 20251201-2.fc44
google-noto-serif-georgian-vf-fonts 20251201-2.fc44
google-noto-serif-gujarati-vf-fonts 20251201-2.fc44
google-noto-serif-gurmukhi-vf-fonts 20251201-2.fc44
google-noto-serif-hebrew-vf-fonts 20251201-2.fc44
google-noto-serif-kannada-vf-fonts 20251201-2.fc44
google-noto-serif-khmer-vf-fonts 20251201-2.fc44
google-noto-serif-lao-vf-fonts 20251201-2.fc44
google-noto-serif-oriya-vf-fonts 20251201-2.fc44
google-noto-serif-sinhala-vf-fonts 20251201-2.fc44
google-noto-serif-tamil-vf-fonts 20251201-2.fc44
google-noto-serif-telugu-vf-fonts 20251201-2.fc44
google-noto-serif-thai-vf-fonts 20251201-2.fc44
google-noto-serif-vf-fonts 20251201-2.fc44
gpgme 2.0.1-3.fc44
gpgmepp 2.0.1-3.fc44
gpsd-libs 3.27.5-3.fc44
grantlee-editor 25.12.3-1.fc44
grantlee-editor-libs 25.12.3-1.fc44
grantleetheme 25.12.3-1.fc44
graphene 1.10.8-4.fc44
graphite2 1.3.14-20.fc44
graphviz-libs 14.1.2-2.fc44
grep 3.12-3.fc44
groff-base 1.23.0-12.fc44
grub2-common 2.12-56.fc44
grub2-efi-ia32 2.12-56.fc44
grub2-efi-ia32-cdboot 2.12-56.fc44
grub2-efi-ia32-modules 2.12-56.fc44
grub2-efi-x64 2.12-56.fc44
grub2-efi-x64-cdboot 2.12-56.fc44
grub2-efi-x64-modules 2.12-56.fc44
grub2-pc 2.12-56.fc44
grub2-pc-modules 2.12-56.fc44
grub2-tools 2.12-56.fc44
grub2-tools-efi 2.12-56.fc44
grub2-tools-extra 2.12-56.fc44
grub2-tools-minimal 2.12-56.fc44
grubby 8.40-88.fc44
gsettings-desktop-schemas 50.0-1.fc44
gsm 1.0.24-2.fc44
gssdp 1.6.4-6.fc44
gssproxy 0.9.2-10.fc44
gstreamer1 1.28.1-1.fc44
gstreamer1-plugin-dav1d 0.15.0-1.fc44
gstreamer1-plugin-libav 1.28.1-1.fc44
gstreamer1-plugin-openh264 1.28.1-1.fc44
gstreamer1-plugins-bad-free 1.28.1-1.fc44
gstreamer1-plugins-bad-free-libs 1.28.1-1.fc44
gstreamer1-plugins-base 1.28.1-1.fc44
gstreamer1-plugins-good 1.28.1-1.fc44
gstreamer1-plugins-good-gtk 1.28.1-1.fc44
gstreamer1-plugins-good-qt6 1.28.1-1.fc44
gstreamer1-plugins-ugly-free 1.28.1-1.fc44
gtk3 3.24.52-1.fc44
gtk3-immodule-xim 3.24.52-1.fc44
gtk4 4.22.1-2.fc44
gtkmm3.0 3.24.10-3.fc44
gtk-update-icon-cache 3.24.52-1.fc44
gupnp 1.6.9-3.fc44
gupnp-igd 1.6.0-8.fc44
gutenprint 5.3.5-7.fc44
gutenprint-cups 5.3.5-7.fc44
gutenprint-libs 5.3.5-7.fc44
gwenview 25.12.3-1.fc44
gwenview-libs 25.12.3-1.fc44
gzip 1.14-2.fc44
harfbuzz 12.3.2-1.fc44
harfbuzz-icu 12.3.2-1.fc44
hdparm 9.65-10.fc44
hfsplus-tools 540.1.linux3-36.fc44
hfsutils 3.2.6-53.fc42
hicolor-icon-theme 0.18-3.fc44
highway 1.3.0-2.fc44
hiredis 1.2.0-8.fc44
hostname 3.25-4.fc44
hplip 3.25.8-2.fc44
hplip-common 3.25.8-2.fc44
hplip-libs 3.25.8-2.fc44
hunspell 1.7.2-11.fc44
hunspell-en 0.20201207-13.fc44
hunspell-en-GB 0.20201207-13.fc44
hunspell-en-US 0.20201207-13.fc44
hunspell-filesystem 1.7.2-11.fc44
hwdata 0.405-1.fc44
hyperv-daemons 6.10-3.fc44
hyperv-daemons-license 6.10-3.fc44
hypervfcopyd 6.10-3.fc44
hypervkvpd 6.10-3.fc44
