7zip 25.01-5.fc44
vpnc-script 20230907-7.git5b9e7e4c.fc44
vulkan-loader 1.4.341.0-1.fc44
vulkan-tools 1.4.341.0-1.fc44
wavpack 5.9.0-2.fc44
wayland-utils 1.3.0-3.fc44
wcurl 2026.01.05-2.fc44
webrtc-audio-processing 2.1-5.fc44
wget2 2.2.1-2.fc44
wget2-libs 2.2.1-2.fc44
wget2-wget 2.2.1-2.fc44
which 2.23-4.fc44
whois 5.6.6-1.fc44
whois-nls 5.6.6-1.fc44
wireless-regdb 2026.02.04-1.fc44
wireplumber 0.5.13-1.fc44
wireplumber-libs 0.5.13-1.fc44
wl-clipboard 2.2.1^git20251124.e808203-2.fc44
words 3.0-63.fc44
wpa_supplicant 2.11-9.fc44
xapian-core-libs 1.4.30-2.fc44
xcb-util 0.4.1-9.fc44
xcb-util-cursor 0.1.6-2.fc44
xcb-util-image 0.4.1-9.fc44
xcb-util-keysyms 0.4.1-9.fc44
xcb-util-renderutil 0.3.10-9.fc44
xcb-util-wm 0.4.2-9.fc44
xdg-dbus-proxy 0.1.6-4.fc44
xdg-desktop-portal 1.21.1-1.fc44
xdg-desktop-portal-gtk 1.15.3-3.fc44
xdg-desktop-portal-kde 6.6.4-1.fc44
xdg-user-dirs 0.18-11.fc43
xdg-utils 1.2.1-5.fc44
xdpyinfo 1.3.4-4.fc44
xdriinfo 1.0.7-6.fc44
xevd-libs 0.5.0-6.fc44
xeve-libs 0.5.1-6.fc44
xfsprogs 6.18.0-2.fc44
xhost 1.0.9-11.fc44
xkbcomp 1.5.0-2.fc44
xkeyboard-config 2.47-1.fc44
xmessage 1.0.7-8.fc44
xml-common 0.6.3-68.fc44
xmlrpc-c 1.60.04-5.fc44
xmlrpc-c-client 1.60.04-5.fc44
xmlsec1 1.2.41-4.fc44
xmlsec1-nss 1.2.41-4.fc44
xmlsec1-openssl 1.2.41-4.fc44
xmodmap 1.0.11-10.fc44
xorg-x11-server-Xwayland 24.1.9-2.fc44
xorg-x11-xauth 1.1.5-1.fc44
xorg-x11-xinit 1.4.3-4.fc44
xprop 1.2.8-5.fc44
xrandr 1.5.3-4.fc44
xrdb 1.2.2-7.fc44
xsettingsd 1.0.2-13.fc44
xvidcore 1.3.7-19.fc44
xwaylandvideobridge 0.4.0-11.fc44
xxhash-libs 0.8.3-4.fc44
xz 5.8.2-2.fc44
xz-libs 5.8.2-2.fc44
yajl 2.1.0-40.fc44
zchunk-libs 1.5.1-4.fc44
zenity 4.2.2-1.fc44
zeromq 4.3.5-22.fc43
zimg 3.0.6-3.fc44
zip 3.0-45.fc44
zix 0.8.0-2.fc44
zlib-ng-compat 2.3.3-3.fc44
zram-generator 1.2.1-5.fc44
zram-generator-defaults 1.2.1-5.fc44
zstd 1.5.7-5.fc44
zvbi 0.2.44-3.fc44
zxcvbn-c 2.6-2.fc44
zxing-cpp 2.2.1-6.fc44
